KEY,BK_AC_TYPE_ID,ICAO_TYPE_CODE,AC_CATEGORY,EQV_TYPE,EQV_NAME,ICAO_ENGINE_DESC,CO2_COEFF,MASS,BAND_FROM_NM,BAND_TO_NM,BAND_FLOOR_NM,FUEL_TOT,FUEL_TOT_MARG_RATE,CORR_FACTOR,CALC_RETURN_CODE,TINV,S,N,X_BAR,SXX,E,ERROR_TYPE,MASS_RATIO,ERROR_RATE_FUEL_PER_NM,AO_FUEL_VERSION_ID,CREA_DATE,CREA_NOTE,VALID_FROM,VALID_TO
DC92----,144,DC92,Jet <90T,ANCAT WITH NEW MODEL,ANCAT,J,3.15,44196.55085,0,999999,0,804.5090634,5.804455505,1.159,,,,,,,,,,,5.1,,,,
DC93----,638,DC93,Jet <90T,ANCAT WITH NEW MODEL,ANCAT,J,3.15,50358.48463,0,999999,0,795.3896081,5.265160126,1.159,,,,,,,,,,,5.1,,,,
DC95----,1624,DC95,Jet <90T,ANCAT WITH NEW MODEL,ANCAT,J,3.15,55124.78637,0,999999,0,837.3657414,5.821853671,1.159,,,,,,,,,,,5.1,,,,
DH83----,1135,DH83,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,18642,0,999999,0,406.8589969,2.061374345,1.159,,,,,,,,,,,5.1,,,,
DH8A----,1629,DH8A,Turbo Prop,AO SAMPLE,DH8A,T,3.15,15685.44136,0,999999,0,110.797702,2.386845654,1.159,,,,,,,,,,,5.1,,,,
DH8B----,150,DH8B,Turbo Prop,AO EQV,DH8A,T,3.15,16251.74847,0,999999,0,110.797702,2.386845654,1.036103995,,,,,,,,,,,5.1,,,,
DH8C----,644,DH8C,Turbo Prop,AO SAMPLE,DH8C,T,3.15,19219.75721,0,999999,0,186.2681668,2.07982821,1.159,,,,,,,,,,,5.1,,,,
DH8D----,1137,DH8D,Turbo Prop,AO SAMPLE,DH8D,T,3.15,29106.82029,0,999999,0,264.6452857,2.866096256,1.159,,,,,,,,,,,5.1,,,,
DHC4----,646,DHC4,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,13005,0,999999,0,336.5354685,1.561114821,1.159,,,,,,,,,,,5.1,,,,
DHC5----,1139,DHC5,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,22268.36775,0,999999,0,189.6235861,2.424717768,1.159,,,,,,,,,,,5.1,,,,
DHC6----,1632,DHC6,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,5775.236101,0,999999,0,93.05904957,1.046175708,1.159,,,,,,,,,,,5.1,,,,
DHC7----,153,DHC7,Turbo Prop,AO EQV,DH8D,T,3.15,19888.87037,0,999999,0,264.6452857,2.866096256,0.683306187,,,,,,,,,,,5.1,,,,
E110----,654,E110,Turbo Prop,ANCAT WITH NEW MODEL,ANCAT,T,3.15,5780,0,999999,0,56.42693236,1.387283001,1.159,,,,,,,,,,,5.1,,,,
E120----,1147,E120,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,11996.23658,0,999999,0,129.4819704,1.566144322,1.159,,,,,,,,,,,5.1,,,,
E121----,1640,E121,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,5782.406897,0,999999,0,93.10103338,1.046775063,1.159,,,,,,,,,,,5.1,,,,
E135----,161,E135,"Jet <43,3T",AO SAMPLE,E135,J,3.15,20173.15967,0,999999,0,391.9345732,2.495490846,1.159,,,,,,,,,,,5.1,,,,
E145----,655,E145,"Jet <43,3T",AO SAMPLE,E145,J,3.15,20822.47781,0,999999,0,465.3078668,2.53776239,1.159,,,,,,,,,,,5.1,,,,
E170----,1148,E170,"Jet <43,3T",AO SAMPLE,E170,J,3.15,36570.66603,0,999999,0,537.5877473,3.867802074,1.159,,,,,,,,,,,5.1,,,,
E190----,1641,E190,Jet <90T,AO SAMPLE,E190,J,3.15,48478.13582,0,999999,0,705.1893344,4.455375732,1.159,,,,,,,,,,,5.1,,,,
E195----,3445,E195,Jet <90T,AO SAMPLE,E195,J,3.15,50718.18727,0,999999,0,668.6929943,4.757836696,1.159,,,,,,,,,,,5.1,,,,
E2----,162,E2,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,22491.81804,0,999999,0,190.9318503,2.443394368,1.159,,,,,,,,,,,5.1,,,,
E290----,3485,E290,Jet <90T,AO EQV,E190,J,3.15,54673.5941,0,999999,0,705.1893344,4.455375732,1.127799021,,,,,,,,,,,5.1,,,,
E295----,3502,E295,Jet <90T,AO EQV,E195,J,3.15,57652.3889,0,999999,0,668.6929943,4.757836696,1.136720218,,,,,,,,,,,5.1,,,,
E35L----,3410,E35L,"Jet <43,3T",AO SAMPLE,E35L,J,3.15,23294.39242,0,999999,0,524.4137796,2.083351013,1.159,,,,,,,,,,,5.1,,,,
E3CF----,1150,E3CF,Heavy Jet,REG AVG_FUEL_PER_NM,Heavy Jet,J,3.15,149456.9218,0,999999,0,883.6318705,9.137282928,1.159,,,,,,,,,,,5.1,,,,
E3TF----,1643,E3TF,Heavy Jet,REG AVG_FUEL_PER_NM,Heavy Jet,J,3.15,151380,0,999999,0,897.3654887,9.229136967,1.159,,,,,,,,,,,5.1,,,,
E530----,3474,E530,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,9680,0,999999,0,295.0549412,1.26603536,1.159,,,,,,,,,,,5.1,,,,
E545----,3414,E545,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,16465.61122,0,999999,0,379.7077927,1.868229194,1.159,,,,,,,,,,,5.1,,,,
E550----,3395,E550,"Jet <43,3T",AO SAMPLE,E550,J,3.15,17585.07901,0,999999,0,363.3862777,1.815045238,1.159,,,,,,,,,,,5.1,,,,
E55P----,3350,E55P,"Jet <43,3T",AO SAMPLE,E55P,J,3.15,8086.139915,0,999999,0,307.6047221,1.064011235,1.159,,,,,,,,,,,5.1,,,,
E6----,1151,E6,Heavy Jet,REG AVG_FUEL_PER_NM,Heavy Jet,J,3.15,154880,0,999999,0,922.3606568,9.396311204,1.159,,,,,,,,,,,5.1,,,,
